keyword,position,page,is_sponsored,brand,matched_sku,asin,title,price,product_url
boat earbuds,16,1,No,boAt,,B0GXBG2MNF,boAt,"₹1,099",https://www.amazon.in/boAt-Airdopes-Immersive-Hearables-Assistant/dp/B0GXBG2MNF/ref=sr_1_13
boat earbuds,17,1,No,boAt,,B0DZXTVL6V,boAt,₹799,https://www.amazon.in/boAt-Airdopes-Bluetooth-Wireless-Earphones/dp/B0DZXTVL6V/ref=sr_1_14
boat earbuds,18,1,No,boAt,,B0BW8RVQ3V,boAt,"₹1,799",https://www.amazon.in/boAt-Nirvana-Playback-Technology-Detection/dp/B0BW8RVQ3V/ref=sr_1_15
boat earbuds,19,1,No,boAt,,B0FL2SJTB2,boAt,₹999,https://www.amazon.in/Airdopes-Battery-Bluetooth-Wireless-Earphones/dp/B0FL2SJTB2/ref=sr_1_16
boat earbuds,20,1,No,boAt,,B0GZMYP6Y6,boAt,"₹1,130",https://www.amazon.in/boAt-Airdopes-Pocketable-Controls-Bluetooth/dp/B0GZMYP6Y6/ref=sr_1_17
boat earbuds,21,1,No,boAt,,B0GXB9M2HW,boAt,"₹1,199",https://www.amazon.in/boAt-Airdopes-Powerful-Playback-Bluetooth/dp/B0GXB9M2HW/ref=sr_1_18
boat earbuds,22,1,No,boAt,,B0FHHLMSW6,boAt,₹999,https://www.amazon.in/boAt-Airdopes-Bluetooth-Wireless-Earphones/dp/B0FHHLMSW6/ref=sr_1_19
boat earbuds,23,1,No,boAt,,B0GZN7C6X8,boAt,"₹1,799",https://www.amazon.in/boAt-Airdopes-ProClip-Conduction-Feather-Light/dp/B0GZN7C6X8/ref=sr_1_20
boat earbuds,24,1,No,boAt,,B0DXPNVSSB,boAt,₹849,https://www.amazon.in/boAt-Airdopes-101v2-Pitch-Black/dp/B0DXPNVSSB/ref=sr_1_21
boat earbuds,25,1,No,boAt,,B0GXBJ3658,boAt,"₹1,099",https://www.amazon.in/boAt-Airdopes-Immersive-Hearables-Assistant/dp/B0GXBJ3658/ref=sr_1_22
