pincode,city,brand,sku,available,delivery_time,price,in_stock,notes
110001,Delhi,boAt,Airdopes 141 Elite ANC,Yes,21 mins,1399,Yes,6 variant(s) matched; showing boAt Airdopes 141 Elite ANC TWS Earbuds (Black)
110001,Delhi,boAt,Chrome Horizon Smart Watch,No,Not available,,No,Not found in search results
110001,Delhi,boAt,Lunar Vista,No,Not available,,No,Not found in search results
110001,Delhi,Noise,Buds VS102 Plus,Yes,8 mins,1499,Yes,5 variant(s) matched; showing Noise Buds VS102 Plus TWS Earbuds (Deep Wine)
110001,Delhi,Noise,Buds N2 Pro,Yes,21 mins,1599,Yes,4 variant(s) matched; showing Noise Buds N2 Pro Truly Wireless TWS Earbuds (Slate Black)
110001,Delhi,Noise,Alt Buds,Yes,21 mins,1799,Yes,12 variant(s) matched; showing Noise Alt Buds S TWS Earbuds (Chosen Black)
110001,Delhi,Noise,Alt Watch 1,No,Not available,,No,Not found in search results
110001,Delhi,Noise,NoiseFit Twist Go,Yes,21 mins,1899,Yes,12 variant(s) matched; showing Noise NoiseFit Twist Go HD Smart Watch (Gold Link)
122001,Gurgaon,boAt,Airdopes 311 Pro,Yes,10 mins,799,Yes,10 variant(s) matched; showing boAt Airdopes 311 Pro TWS Earbuds (Active Black)
122001,Gurgaon,boAt,Nirvana Ion ANC,Yes,10 mins,1999,Yes,3 variant(s) matched; showing boAt Nirvana Ion ANC TWS Earbuds (Green)
122001,Gurgaon,boAt,Airdopes 141 Elite ANC,Yes,8 mins,1399,Yes,6 variant(s) matched; showing boAt Airdopes 141 Elite ANC TWS Earbuds (Black)
122001,Gurgaon,boAt,Chrome Horizon Smart Watch,Yes,8 mins,3599,Yes,2 variant(s) matched; showing boAt Chrome Horizon Smart Watch (Coco Brown)
122001,Gurgaon,boAt,Lunar Vista,No,Not available,,No,Not found in search results
122001,Gurgaon,Noise,Buds VS102 Plus,Yes,8 mins,1499,Yes,5 variant(s) matched; showing Noise Buds VS102 Plus TWS Earbuds (Deep Wine)
122001,Gurgaon,Noise,Buds N2 Pro,Yes,8 mins,1599,Yes,3 variant(s) matched; showing Noise Buds N2 Pro Truly Wireless TWS Earbuds (Slate Black)
122001,Gurgaon,Noise,Alt Buds,Yes,8 mins,1799,Yes,22 variant(s) matched; showing Noise Alt Buds S TWS Earbuds (Chosen Black)
122001,Gurgaon,Noise,Alt Watch 1,Yes,8 mins,5999,Yes,2 variant(s) matched; showing Noise Alt Watch 1 Amoled Smart Watch (Chosen Beige)
122001,Gurgaon,Noise,NoiseFit Twist Go,Yes,8 mins,1899,Yes,10 variant(s) matched; showing Noise NoiseFit Twist Go HD Smart Watch (Gold Link)
